Question,Answer
"1. What is the main goal of the Sustainable Development Goals (SDGs) created by leaders from 193 countries in 2015, and what is the target year for achieving these goals?","The main goal of the Sustainable Development Goals (SDGs) is to imagine a future that is rid of poverty and hunger, and safe from the worst effects of climate change. The target year for achieving these goals is 2030."
"2. According to the text, what percentage of people worldwide still live on less than $1.25 a day, and what is the equivalent population of this number?","According to the text, more than 800 million people around the world still live on less than $1.25 a day, which is equivalent to the entire population of Europe."
"3. How many people die every year before their fifth birthday, and what is the leading cause of death for adolescents in sub-Saharan Africa?","According to the text, 6 million children die every year before their fifth birthday. The leading cause of death for adolescents in sub-Saharan Africa is AIDS."
"4. What is the goal for 2030 regarding access to safe and affordable drinking water, and what percentage of people around the world are currently affected by water scarcity?","The goal for 2030 is that everyone on earth should have access to safe and affordable drinking water. Currently, water scarcity affects more than 40 percent of people around the world, and this number is projected to increase due to climate change, with at least one in four people likely to be affected by recurring water shortages by 2050."
"5. What is the target for reducing per capita food waste globally, and how can businesses and consumers contribute to achieving this goal?","The target is to cut per capita food waste in half globally. Businesses and consumers can contribute to achieving this goal by reducing and recycling waste. Specifically, businesses can implement practices to reduce food waste, while consumers can make conscious choices to reduce their individual food waste. Additionally, governments and institutions can play a role in promoting and supporting sustainable consumption patterns."
"6. How many people depend on marine and coastal diversity for their livelihoods, and what percentage of the world's fish stocks are currently overexploited?","More than 3 billion people depend on marine and coastal diversity for their livelihoods. Nearly a third of the world's fish stocks are overexploited, which is not a sustainable way of life."
"7. What is the goal of the Sustainable Development Goals regarding the protection and restoration of terrestrial ecosystems, and by what year do they aim to achieve this?","The goal of the Sustainable Development Goals regarding the protection and restoration of terrestrial ecosystems is to ""Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."" They aim to achieve this by 2030."
"8. What is the relationship between peace and development, and how do the Sustainable Development Goals propose to reduce all forms of violence and promote lasting solutions to conflict and insecurity?","According to the text, peace and development are closely linked, and it is difficult for a country to develop without peace. The Sustainable Development Goals (SDGs) propose to reduce all forms of violence and promote lasting solutions to conflict and insecurity by:

* Strengthening the rule of law
* Reducing the flow of illicit arms
* Bringing developing countries more into the center of institutions of global governance

The SDGs aim to promote peaceful and inclusive societies for sustainable development, provide access to justice for all, and build effective, accountable, and inclusive institutions at all levels. This is reflected in Goal 16, which is to ""Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels"". 

In essence, the SDGs recognize that peace and security are essential for achieving sustainable development, and that reducing violence and promoting lasting solutions to conflict and insecurity are critical to creating an environment conducive to development."
"9. How many countries agreed on the Sustainable Development Goals, and what is the significance of this global partnership for achieving the goals?","According to the text, 193 countries agreed on the Sustainable Development Goals. The significance of this global partnership is that it brings together almost every country in the world to work towards a common set of goals, which is unprecedented. This partnership is crucial for achieving the goals, as it allows for cooperation, sharing of resources, and collective action to address global challenges. The fact that 193 countries have agreed on these goals demonstrates a strong commitment to working together to create a more sustainable and equitable world."
"10. What are some ways individuals can contribute to achieving the Sustainable Development Goals, such as fundraising, donating, or spreading awareness, and what is the website address for SDG merchandise and more information on taking action?","According to the text, individuals can contribute to achieving the Sustainable Development Goals in several ways, including:

1. **Go shopping**: Visit the website shop.undp.org for SDG merchandise and show off the goals you're most passionate about.
2. **Make a donation**: Donate to support the cause.
3. **Start a fundraiser**: Raise money, create awareness, and inspire others.
4. **Spread the word**: Search for @UNDP on Twitter, Facebook, and Instagram, and share the content you love.

The website address for more information on taking action is: undp.org/takeaction

By taking these actions, individuals can help support the achievement of the Sustainable Development Goals by 2030."
